1,1,1,3,4,1,322,329,354,1.02173913,1.099378882,0.526578415,26
2,2,2,3,2,1,303,308,337,1.01650165,1.112211221,0.745060744,10
3,3,3,1,3,2,102,99,110,0.970588235,1.078431373,0.628828146,15
4,1,3,2,2,3,168,171,184,1.017857143,1.095238095,0.579066024,20
5,2,1,1,1,3,206,212,231,1.029126214,1.121359223,0.540436118,24
6,3,4,2,1,3,123,124,134,1.008130081,1.089430894,0.901669635,6
7,1,2,1,4,3,141,131,142,0.929078014,1.007092199,0.292943003,40
8,1,4,3,3,3,118,119,124,1.008474576,1.050847458,0.460287309,34
9,2,2,3,2,1,143,147,160,1.027972028,1.118881119,0.543557307,23
10,2,2,3,3,2,192,197,206,1.026041667,1.072916667,0.290473751,41
11,1,1,1,1,3,1206,1209,1270,1.002487562,1.053067993,1.014134492,5
12,2,3,3,3,1,122,129,137,1.057377049,1.12295082,0.273754364,42
13,3,2,1,3,1,941,938,1030,0.996811902,1.094580234,1.731539441,1
14,3,2,2,1,3,121,123,130,1.016528926,1.074380165,0.449977043,37
15,3,3,3,4,3,146,148,156,1.01369863,1.068493151,0.468164589,33
16,1,3,3,4,1,145,151,164,1.04137931,1.131034483,0.440741277,38
17,2,1,1,3,1,1718,1727,1834,1.00523865,1.067520373,0.860500136,7
18,1,2,1,1,3,958,965,1015,1.007306889,1.059498956,0.610573892,17
19,3,1,2,1,1,255,257,268,1.007843137,1.050980392,0.487088187,31
20,3,4,2,1,3,861,873,926,1.013937282,1.075493612,0.52141518,27
21,1,1,2,4,3,267,270,283,1.011235955,1.059925094,0.459332415,35
22,2,1,2,1,3,159,164,175,1.031446541,1.100628931,0.390129796,39
23,3,3,1,2,2,341,345,375,1.011730205,1.099706745,0.812295542,8
24,3,3,1,3,1,330,336,363,1.018181818,1.1,0.606779876,18
25,3,4,3,4,3,750,759,779,1.012,1.038666667,0.243432248,43
26,1,2,3,1,2,1007,1019,1083,1.011916584,1.075471698,0.582203237,19
27,2,1,1,2,1,446,456,490,1.022421525,1.098654709,0.509109836,29
28,3,2,1,3,2,928,939,1072,1.011853448,1.155172414,1.316380106,2
29,3,2,1,1,3,109,112,122,1.027522936,1.119266055,0.553001264,22
30,1,2,3,3,3,249,255,260,1.024096386,1.044176707,0.129358421,45
31,3,4,2,3,2,1003,1017,1097,1.013958126,1.093718843,0.675111495,11
32,3,1,1,2,1,398,406,442,1.020100503,1.110552764,0.637993085,14
33,3,1,1,3,1,269,271,298,1.007434944,1.107806691,1.164052657,4
34,1,1,1,1,1,296,307,336,1.037162162,1.135135135,0.508224737,30
35,2,4,3,4,2,1145,1151,1204,1.005240175,1.051528384,0.639436615,13
36,2,1,3,4,3,245,246,254,1.004081633,1.036734694,0.511101252,28
37,3,2,1,4,1,705,724,780,1.026950355,1.106382979,0.483856599,32
38,3,2,1,2,1,508,519,562,1.021653543,1.106299213,0.575228317,21
39,1,2,3,2,1,119,123,133,1.033613445,1.117647059,0.458349249,36
40,3,1,1,1,2,515,520,559,1.009708738,1.085436893,0.768556837,9
41,2,3,2,3,2,124,128,140,1.032258065,1.129032258,0.538815906,25
42,3,1,1,2,2,256,257,276,1.00390625,1.078125,1.1875,3
43,3,1,1,2,2,229,234,256,1.021834061,1.11790393,0.650159537,12
44,3,4,3,3,2,284,285,289,1.003521127,1.017605634,0.237356332,44
45,3,2,2,2,1,530,543,595,1.024528302,1.122641509,0.626460558,16
